date,usdc,usdt,euros,xusd
2024-12-01,2.0614,2.0526,2.2783,1.9619
2024-12-02,1.9996,1.9839,2.1786,1.9162
2024-12-03,1.9817,1.9538,2.1535,1.8742
2024-12-04,2.1143,2.1136,2.3033,2.0357
2024-12-05,2.2333,2.2322,2.4667,2.1223
2024-12-06,2.0068,2.0104,2.2572,1.9013
2024-12-07,1.9633,1.9753,2.2162,1.8453
2024-12-08,2.0267,2.0437,2.2237,1.9089
2024-12-09,2.4205,2.4257,2.6193,2.2613
2024-12-10,2.376,2.3663,2.6258,2.3195
2024-12-11,2.2113,2.1886,2.3823,2.1217
2024-12-12,2.3598,2.2925,2.5362,2.2704
2024-12-13,2.3061,2.3128,2.4904,2.2031
2024-12-14,2.389,2.3969,2.5935,2.2791
2024-12-15,2.3296,2.3483,2.5558,2.2259
2024-12-16,2.4282,2.4113,2.6691,2.3176
2024-12-17,2.4286,2.4141,2.5709,2.3191
2024-12-18,2.7469,2.7168,2.8722,2.7159
2024-12-19,3.0142,2.9841,3.1794,2.9154
2024-12-20,2.8944,2.8751,3.0992,2.7366
2024-12-21,3.0678,3.0355,3.2391,2.9066
2024-12-22,2.8828,2.8768,3.0742,2.7162
2024-12-23,2.681,2.6582,2.8548,2.5187
2024-12-24,2.529,2.5056,2.7124,2.4039
2024-12-25,2.6377,2.6068,2.8345,2.4762
2024-12-26,2.9036,2.8272,3.0532,2.7647
2024-12-27,3.0362,3.015,3.1946,2.8755
2024-12-28,2.9097,2.9087,3.1105,2.752
2024-12-29,3.0962,3.0686,3.2081,2.9628
2024-12-30,3.0594,2.9801,3.178,2.8829
2024-12-31,3.01,2.9074,3.0343,2.8626
